USN,Gender,Age,12th marks %,rural/ urban area,Section,Why take this course?,Which teaching methods helped your learning?,Were you prepared to take this course based on prior coursework?,How much time did you spend weekly on this course outside of class for C01?,How much time did you spend weekly on this course outside of class for C02?,How much time did you spend weekly on this course outside of class for C03?,How much time did you spend weekly on this course outside of class for C04?,What level have you achieved in the course outcomes for C01?,What level have you achieved in the course outcomes for C02?,What level have you achieved in the course outcomes for C03?,What level have you achieved in the course outcomes for C04?,How satisfied are you with C01?,How satisfied are you with C02?,How satisfied are you with C03?,How satisfied are you with C04?,List strategies for learning the course outcomes for C01,List strategies for learning the course outcomes for C02,List strategies for learning the course outcomes for C03,List strategies for learning the course outcomes for C04,How many marks will you give yourself for C01?,How many marks will you give yourself for C02?,How many marks will you give yourself for C03?,How many marks will you give yourself for C04?,"If your marks are low in C01, who do you blame for your performance?","If your marks are low in C02, who do you blame for your performance?","If your marks are low in C03, who do you blame for your performance?","If your marks are low in C04, who do you blame for your performance?",Explain briefly your rationale for you choice to the previous question,Would more faculty concern improve your learning in C01?,Would more faculty concern improve your learning in C02?,Would more faculty concern improve your learning in C03?,Would more faculty concern improve your learning in C04?,Would more outside help improve your learning in C01?,Would more outside help improve your learning in C02?,Would more outside help improve your learning in C03?,Would more outside help improve your learning in C04?,Your overall feedback,Would more outside help improve your learning in C01?.1,Would more outside help improve your learning in C01?.2,Would more outside help improve your learning in C01?.3,Your overall feedback about the course,Write a paragraph about your course experience.,Were class activities allowed to be submitted after the class timing? [CO1]
1RVU23BSC087,Female,18.0,91.83%,Rural,IDA_B,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions",Yes,5-6 hours,5-6 hours,5-6 hours,5-6 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,Yourself,Yourself,Yourself,Yourself,"It is my responsibility to learn and understand the concept, hence I would blame myself if I fail to do it",Yes,Yes,Yes,Yes,NO,NO,NO,NO,,,,,Excellent (> 90%),"Very informative course, I enjoyed learning every CO activities, which also helped me gain basic skills",No
1RVU23BSC012,Male,18.0,80,Urban,IDA_B,Interest in the subject,"Class discussions, including online discussion boards;Projects or portfolios;Teamwork or group activities",Yes,5-6 hours,5-6 hours,5-6 hours,5-6 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),.,NO,NO,NO,NO,NO,NO,NO,NO,,,,,Excellent (> 90%),The course was good and easy to follow ,No
1RVU23BSC176,Male,19.0,85,Urban,IDA_A,Fulfills general curriculum/education requirement,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Labs;Projects or portfolios;Teamwork or group activities;Student presentations;Guest lecturers;Fieldwork/ field trips;Writing work;",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,Yourself,Yourself,Yourself,Yourself,Amazing course ,NO,NO,NO,NO,NO,NO,NO,NO,,,,,Excellent (> 90%),Fabulous course ,No
1RVU23BSC022,Female,19.0,71,Urban,IDA_A,Interest in the subject,"Lectures, including online lectures;Outside-class homework, readings",Yes,5-6 hours,5-6 hours,5-6 hours,5-6 hours,Solving problems,Solving problems,Solving problems,Solving problems,Neutral with my effort,Neutral with my effort,Neutral with my effort,Neutral with my effort,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,3,3,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I'm responsible for my own grades,NO,NO,NO,NO,Yes,Yes,Yes,Yes,,,,,Excellent (> 90%),This was an informative introductive course,Yes
1RVU23BSC145,Male,18.0,59,Urban,IDA_C,Fulfills general curriculum/education requirement,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,Yourself,Teacher,Circumstances,Yourself,I feel like that,NO,NO,NO,NO,Yes,Yes,Yes,Yes,,,,,Good (70 - 90%),It was good experience ,No
1RVU23BSC081,Male,18.0,71.16%,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,"Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods",Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,Yourself,Yourself,Yourself,Yourself,I'd blame it on myself because my education and learning depends on me ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Excellent (> 90%),Excellent course because it fulfills all the required knowledge ,Yes
1RVU23BSC141,Female,19.0,78,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;In-class learning activities, other than discussions;Teamwork or group activities;Student presentations",No,5-6 hours,5-6 hours,5-6 hours,5-6 hours,Solving problems,Solving problems,Solving problems,"Making judgments about the value of information, arguments, or methods",Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,3,3,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I'm confident about my hard work and efforts so that I can't get that marks ,NO,NO,NO,NO,NO,NO,NO,NO,,,,,Good (70 - 90%),Has compared to other courses I'm very interested and through in this course ,Yes
1RVU23BSC141,Female,19.0,78,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;Teamwork or group activities;Student presentations",No,5-6 hours,5-6 hours,5-6 hours,5-6 hours,Solving problems,Solving problems,Solving problems,"Making judgments about the value of information, arguments, or methods",Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",3,3,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I'm confident because of my hard work and efforts so I prefer this ,NO,NO,NO,NO,NO,NO,NO,NO,,,,,Good (70 - 90%),I'm very interested in this course and comparing to other courses I feel it's easy ,Yes
1RVU23BSC092,Male,19.0,70,Urban,IDA_B,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions",No,5-6 hours,3-4 hours,5-6 hours,3-4 hours,"Making judgments about the value of information, arguments, or methods",Applying theories or concepts to practical problems or in new situations,Solving problems,Applying theories or concepts to practical problems or in new situations,Happy as I enjoyed doing the CO activities,Neutral with my effort,Happy as I enjoyed doing the CO activities,Neutral with my effort,"Understand others work but redo it, referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, referring to it","Understand others work but redo it, without referring to it",4,4,4,4,Teacher,Circumstances,Teacher,Circumstances,Due to health issues or late submission ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Good (70 - 90%),I experienced good ,No
1RVU23BSC153,Male,18.0,60,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Reputation or peer recommendation of the instructor (faculty);Fits into my schedule","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",No,Less than one hour,Less than one hour,,1-2 hours,Thinking creatively or critically,Thinking creatively or critically,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I understood the teacher,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,Yourself,Yourself,Yourself,Yourself,responsiblr for my own marks,NO,NO,NO,NO,NO,NO,NO,NO,,,,,Excellent (> 90%),it was amazing and very good,No
1rvu23bsc167,Female,18.0,57,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Reputation or peer recommendation of the instructor (faculty)","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",No,5-6 hours,5-6 hours,5-6 hours,5-6 hours,Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,"Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods",Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, referring to it","Understand others work but redo it, referring to it",3,3,3,3,Yourself,Yourself,Yourself,Yourself,Im responsible for my performance ,Yes,Yes,Yes,Yes,NO,NO,NO,NO,,,,,Good (70 - 90%),I like this course ,No
